iter,time,est_name,n_fe,dgp_name,n_obs,language
2,0.12448245899941,linearmodels.AbsorbingLS,2,difficult,100000,python
3,0.117991416998848,linearmodels.AbsorbingLS,2,difficult,100000,python
1,33.6323836670017,linearmodels.AbsorbingLS,3,difficult,100000,python
2,30.5185829580005,linearmodels.AbsorbingLS,3,difficult,100000,python
3,37.8985434999995,linearmodels.AbsorbingLS,3,difficult,100000,python
1,0.0134285000021919,pyfixest.feols (numba),2,difficult,100000,python
2,0.017562375000125,pyfixest.feols (numba),2,difficult,100000,python
3,0.0122930830002588,pyfixest.feols (numba),2,difficult,100000,python
1,3.58256045899907,pyfixest.feols (numba),3,difficult,100000,python
2,3.15181970899721,pyfixest.feols (numba),3,difficult,100000,python
3,3.2287137500025,pyfixest.feols (numba),3,difficult,100000,python
1,0.0250169999999343,pyfixest.feols (rust),2,difficult,100000,python
2,0.0431805419975717,pyfixest.feols (rust),2,difficult,100000,python
3,0.0209270409977762,pyfixest.feols (rust),2,difficult,100000,python
1,1.22331166599906,pyfixest.feols (rust),3,difficult,100000,python
2,1.21262879200003,pyfixest.feols (rust),3,difficult,100000,python
3,1.15955904200018,pyfixest.feols (rust),3,difficult,100000,python
1,,statsmodels.OLS,2,difficult,100000,python
2,,statsmodels.OLS,2,difficult,100000,python
3,,statsmodels.OLS,2,difficult,100000,python
1,,statsmodels.OLS,3,difficult,100000,python
2,,statsmodels.OLS,3,difficult,100000,python
3,,statsmodels.OLS,3,difficult,100000,python
1,0.0125260353088379,FixedEffectModels.reg,2,simple,100000,julia
2,0.00918817520141602,FixedEffectModels.reg,2,simple,100000,julia
3,0.0132839679718018,FixedEffectModels.reg,2,simple,100000,julia
1,0.0200579166412354,FixedEffectModels.reg,3,simple,100000,julia
2,0.0299069881439209,FixedEffectModels.reg,3,simple,100000,julia
3,0.0346119403839111,FixedEffectModels.reg,3,simple,100000,julia
1,0.00991201400756836,fixest::feols,2,simple,100000,r
2,0.0100400447845459,fixest::feols,2,simple,100000,r
3,0.0108160972595215,fixest::feols,2,simple,100000,r
1,0.0163278579711914,fixest::feols,3,simple,100000,r
2,0.0168271064758301,fixest::feols,3,simple,100000,r
3,0.0165770053863525,fixest::feols,3,simple,100000,r
1,0.0954890251159668,lfe::felm,2,simple,100000,r
2,0.0909500122070312,lfe::felm,2,simple,100000,r
3,0.0972781181335449,lfe::felm,2,simple,100000,r
1,0.0931739807128906,lfe::felm,3,simple,100000,r
2,0.0931940078735352,lfe::felm,3,simple,100000,r
3,0.0926170349121094,lfe::felm,3,simple,100000,r
1,0.0971784999965166,linearmodels.AbsorbingLS,2,simple,100000,python
2,0.0960170420003124,linearmodels.AbsorbingLS,2,simple,100000,python
3,0.0950401249974675,linearmodels.AbsorbingLS,2,simple,100000,python
1,0.162182790998486,linearmodels.AbsorbingLS,3,simple,100000,python
2,0.162303541997971,linearmodels.AbsorbingLS,3,simple,100000,python
3,0.153546749999805,linearmodels.AbsorbingLS,3,simple,100000,python
1,0.0122164170024917,pyfixest.feols (numba),2,simple,100000,python
2,0.0100570409995271,pyfixest.feols (numba),2,simple,100000,python
3,0.00896141700286535,pyfixest.feols (numba),2,simple,100000,python
1,0.0191566249995958,pyfixest.feols (numba),3,simple,100000,python
2,0.0167055829988385,pyfixest.feols (numba),3,simple,100000,python
3,0.013561749998189,pyfixest.feols (numba),3,simple,100000,python
1,0.0166964579984779,pyfixest.feols (rust),2,simple,100000,python
2,0.0170427920020302,pyfixest.feols (rust),2,simple,100000,python
3,0.0149907080012781,pyfixest.feols (rust),2,simple,100000,python
1,0.0263340419987799,pyfixest.feols (rust),3,simple,100000,python
2,0.0215428330011491,pyfixest.feols (rust),3,simple,100000,python
3,0.0221505420013273,pyfixest.feols (rust),3,simple,100000,python
1,,statsmodels.OLS,2,simple,100000,python
2,,statsmodels.OLS,2,simple,100000,python
3,,statsmodels.OLS,2,simple,100000,python
1,,statsmodels.OLS,3,simple,100000,python
2,,statsmodels.OLS,3,simple,100000,python
3,,statsmodels.OLS,3,simple,100000,python
1,0.0404660701751709,FixedEffectModels.reg,2,difficult,500000,julia
2,0.0386760234832764,FixedEffectModels.reg,2,difficult,500000,julia
3,0.110714912414551,FixedEffectModels.reg,2,difficult,500000,julia
1,1.32842803001404,FixedEffectModels.reg,3,difficult,500000,julia
2,1.62762689590454,FixedEffectModels.reg,3,difficult,500000,julia
3,1.83464813232422,FixedEffectModels.reg,3,difficult,500000,julia
1,0.0375590324401855,fixest::feols,2,difficult,500000,r
2,0.0331311225891113,fixest::feols,2,difficult,500000,r
3,0.0358150005340576,fixest::feols,2,difficult,500000,r
1,2.42974090576172,fixest::feols,3,difficult,500000,r
2,3.66171884536743,fixest::feols,3,difficult,500000,r
3,3.94858288764954,fixest::feols,3,difficult,500000,r
1,0.188735008239746,lfe::felm,2,difficult,500000,r
2,0.196244955062866,lfe::felm,2,difficult,500000,r
3,0.188573837280273,lfe::felm,2,difficult,500000,r
1,,lfe::felm,3,difficult,500000,r
2,,lfe::felm,3,difficult,500000,r
3,,lfe::felm,3,difficult,500000,r
1,0.482518083998002,linearmodels.AbsorbingLS,2,difficult,500000,python
2,0.477051624999149,linearmodels.AbsorbingLS,2,difficult,500000,python
3,0.480956374998641,linearmodels.AbsorbingLS,2,difficult,500000,python
1,,linearmodels.AbsorbingLS,3,difficult,500000,python
2,,linearmodels.AbsorbingLS,3,difficult,500000,python
3,,linearmodels.AbsorbingLS,3,difficult,500000,python
1,0.0415388749970589,pyfixest.feols (numba),2,difficult,500000,python
2,0.0346603750003851,pyfixest.feols (numba),2,difficult,500000,python
3,0.0456498329986061,pyfixest.feols (numba),2,difficult,500000,python
1,12.7919637499981,pyfixest.feols (numba),3,difficult,500000,python
2,13.6056811249982,pyfixest.feols (numba),3,difficult,500000,python
3,14.9054759999999,pyfixest.feols (numba),3,difficult,500000,python
1,0.088847375001933,pyfixest.feols (rust),2,difficult,500000,python
2,0.0684918330007349,pyfixest.feols (rust),2,difficult,500000,python
3,0.0659351670001342,pyfixest.feols (rust),2,difficult,500000,python
1,2.44706033400144,pyfixest.feols (rust),3,difficult,500000,python
2,2.45983337500002,pyfixest.feols (rust),3,difficult,500000,python
3,2.11612666699875,pyfixest.feols (rust),3,difficult,500000,python
1,,statsmodels.OLS,2,difficult,500000,python
2,,statsmodels.OLS,2,difficult,500000,python
3,,statsmodels.OLS,2,difficult,500000,python
1,,statsmodels.OLS,3,difficult,500000,python
2,,statsmodels.OLS,3,difficult,500000,python
3,,statsmodels.OLS,3,difficult,500000,python
1,0.0415639877319336,FixedEffectModels.reg,2,simple,500000,julia
